,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
132,1f5dd877-8d93-4447-8ec1-0c1ec1b8987c,True,1.0,OP,0,,,,,
133,2ba4d28f-c161-493c-8212-50e14f524e66,True,1.0,OP,0,,,,,
134,f087084e-fe1b-4cd0-8af8-adad8c00af89,True,1.0,OP,0,,,,,
135,483e2d60-0ff3-48c8-8127-f1c9f91b6692,True,1.0,OP,0,,,,,
136,9d1f1b1b-49e1-42fc-8aa3-e35d16f8684c,True,1.0,OP,0,,,,,
137,84c0e9bd-37b1-4ff0-a7a5-86e8996267d7,True,1.0,OP,0,,,,,
138,ec23ba7f-3884-4f91-8cbb-e9fc55428a38,True,1.0,OP,1,0.0,0.0,1.0,0.0,0.0
139,e84ddc25-823a-4e03-af78-29150c243696,True,1.0,OP,1,0.0,0.0,1.0,0.0,0.0
140,f515ee6d-e74b-473a-85a1-812935e095a9,True,1.0,OP,0,,,,,
141,6f649ef0-b84d-4fff-a7d5-d6bc36f9811e,True,1.0,OP,0,,,,,
142,00b50603-4a0d-4e18-a4dd-bbd565c6ca4d,True,1.0,OP,0,,,,,
143,6a486e25-4c02-4fc7-9e27-3a4b872e8b10,True,1.0,OP,0,,,,,
144,747b3496-3137-4664-80e9-4c0d0c486f7e,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
145,f9079b37-e710-4f08-bf01-a4069e445095,True,1.0,OP,0,,,,,
146,97eb4f2d-e5c2-487b-adf8-0066344a52ed,True,1.0,OP,0,,,,,
147,65949bef-a1b3-4a73-b6a9-174f36189759,True,1.0,OP,0,,,,,
148,6222fe55-611b-45fe-bee5-47700c536d8d,True,1.0,OP,0,,,,,
149,7732fbce-8cab-4a1c-beb8-035a93bc2681,True,1.0,OP,0,,,,,
150,efba9624-5af8-4510-859a-62a5c0e4e010,True,1.0,OP,0,,,,,
151,95ebc0c6-b6c6-483c-b89a-ed1c6ddc2679,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
152,10823ada-3ece-45fa-82e9-8e03c8f1291f,True,1.0,OP,0,,,,,
153,286d0fd4-6a40-4ac7-817c-1b0ac4fc0657,True,1.0,OP,0,,,,,
154,5682c709-8ea3-4a17-b742-8d735e8be8e5,True,1.0,OP,0,,,,,
155,5fe4f0db-fdbc-4d9d-bf44-792303e69842,True,1.0,OP,0,,,,,
156,bc33eb9d-dcbb-4c11-80f6-5f8a79f26b07,True,1.0,OP,0,,,,,
157,16b43f0b-e449-4aa6-870e-fbeccff4bc7f,True,1.0,OP,0,,,,,
158,bfb15ffc-dfa8-4935-a21d-3cc40c32cd10,True,1.0,OP,0,,,,,
159,0b971602-509c-47f1-b149-43310a7bdba5,True,1.0,OP,0,,,,,
