UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
2e5d68bc-6149-4c7c-8edd-44d5d6669cb0,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=1998,0.0,0.0,0.0
a4295537-7c92-41bf-a4d2-67b2b0ccf555,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2027,0.0,0.0,0.0
dff1262e-9a59-40b5-87b9-1c7cbf2fab9a,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,50.0,0.0,0.0,6.0,75.0,4.0,4.0,4.0,3.0,1068.0,1307.0,http://163.27.11.10/show_hotnews.asp?pID=2029,1.0,0.0,0.0
fc07129d-eb24-4541-9bcb-619833fd6185,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2030,0.0,0.0,0.0
d233e02c-1d68-4a15-80e2-ab6a2df70928,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2031,0.0,0.0,0.0
30834949-f0fe-44e5-8623-33b4eb2e6fe3,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2032,0.0,0.0,0.0
8d7a0a6b-3cf8-45da-b150-86ecdf547cf6,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2034,0.0,0.0,0.0
c0db79ba-3f4c-4f0b-b119-b99a2d675290,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2035,0.0,0.0,0.0
e84c882a-e0c5-4634-9c03-e6f849642cb5,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2036,0.0,0.0,0.0
d7f016f6-ed3e-4f65-9065-cdf0e97a860a,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2037,0.0,0.0,0.0
28c77c6b-57e3-4f6b-bcc1-b84d84025812,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2039,0.0,0.0,0.0
0fe84c22-7c4c-4f15-a26b-66415a70ebb7,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,http://163.27.11.10/show_hotnews.asp?pID=2040,0.0,0.0,0.0
4a03743a-f965-4cc6-b9f8-ec14c9f5ad79,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,http://24.246.110.10/EastWindsorSearch/,0.0,0.0,0.0
ca6c9c73-103b-4040-adfc-9531239ebc56,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,http://24.246.110.10/EWLandRecSearch/,0.0,0.0,0.0
f18265fb-8a33-47f2-93de-27231693df13,0.0,CC,,,,,,,,,,,,,,,2.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,270.0,269.0,http://24.246.110.10/KillingworthCTSearch/,0.0,0.0,1.0
2c6f6ddc-f292-422c-af7e-24ff175629a2,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,http://24.246.110.10/robots.txt,0.0,0.0,0.0
b9cb6a26-24f4-42ff-9213-d9b1200c9cb5,0.0,CC,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,15.0,41.0,0.0,0.0,98.0,83.0,6.0,6.0,7.0,2.0,1203.0,1625.0,http://198.252.110.10/,8.0,0.0,0.0
f9f609c3-8dfe-41c3-bf8c-6627bd8558bd,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,41.0,0.0,0.0,98.0,83.0,6.0,6.0,7.0,2.0,1200.0,1623.0,http://198.252.110.10/,8.0,0.0,0.0
1b333628-37f3-4b04-8983-650c3cec3a7a,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,15.0,41.0,0.0,0.0,98.0,83.0,6.0,6.0,7.0,2.0,1201.0,1587.0,http://198.252.110.10/,8.0,0.0,0.0
