Ad-blocked,Cookies,Countries,Domains,HTTPS,IPs,IPv6,JSGlobalVar,Malicious,No-class Tags,OutGoingLinks,Requests,Size,Subdomains,Tags,Title,Transfer,URL,UUID,a,button,class Tags,div,external_script,folder,form,hash_value,httponly,iframe,img,input,internal_script,label,script,secure,sensitive,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,sensitive_case5,sensitive_case6,session,session & httponly,source,span,textarea
0.0,1.0,2.0,2.0,100.0,2.0,50.0,1.0,0.0,20.0,2.0,5.0,321.0,2.0,65.0,Netflix,210.0,https://login-mymembership.com/confirm/,f2c5105b-4a4a-49ce-af8d-5187de29da70,5.0,2.0,45.0,23.0,0.0,20200828.0,1.0,6856d72aa57f76fc54be26001b2a0e6eaa096660,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,PT,6.0,0.0
0.0,1.0,2.0,2.0,100.0,2.0,50.0,1.0,0.0,20.0,2.0,5.0,321.0,2.0,65.0,Netflix,210.0,http://login-mymembership.com/,616e36bf-b875-4ba9-b6ea-7d678564ca70,5.0,2.0,45.0,23.0,0.0,20200828.0,1.0,b1069d526b42751a6fb66f8e5c4de43de71784f5,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,PT,6.0,0.0
0.0,3.0,2.0,5.0,100.0,3.0,25.0,69.0,0.0,48.0,0.0,20.0,1232.0,6.0,113.0,Amazonã‚µã‚¤ãƒ³ã‚¤ãƒ³,407.0,http://98.126.215.111/ap/signin?openid.pape.max_auth_age=0&amp;openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&amp;openid.identity=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&amp;openid.ns=http://specs.openid.net/auth/2.0&amp;&amp;ref_=nav_em_hd_clc_signinopenid.ns=http://specs.openid.net/auth/2.0&amp;&amp;ref_=nav_em_hd_clc_signin,4219aaa4-b198-4aa6-990a-b11fe944283a,11.0,0.0,65.0,36.0,8.0,20200828.0,2.0,4392cdf8ffa3bd55f812968cbc44d13b25d83148,0.0,0.0,2.0,12.0,13.0,1.0,21.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,11.0,0.0
0.0,3.0,2.0,5.0,100.0,3.0,25.0,69.0,0.0,48.0,0.0,20.0,1232.0,6.0,113.0,Amazonã‚µã‚¤ãƒ³ã‚¤ãƒ³,369.0,http://98.126.215.109/ap/signin?openid.pape.max_auth_age=0&amp;openid.return_to=http%20s://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&amp;openid.identity=http%%203A//specs.openid.net/auth/2.0/identifier_select&amp;openid.assoc_handle=jp%20flex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http://specs.op%20enid.net/auth/2.0/identifier_select&amp;openid.ns=http://specs.openid.ne%20t/auth/2.0&amp;&amp;ref_=nav_em_hd_clc_signin,2ff31bb8-5ba9-4966-9609-cada2b6e8eed,11.0,0.0,65.0,36.0,8.0,20200828.0,2.0,6de8af6832e4ce2d1821e346633c7099338a0ad1,0.0,0.0,2.0,12.0,13.0,1.0,21.0,2.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,11.0,0.0
0.0,0.0,2.0,3.0,22.0,3.0,33.0,0.0,0.0,,0.0,9.0,988.0,3.0,,,81.0,http://kingofliferadio.org/chase/chase/view/login.php?cmd=login_submit&amp;id=f30bf9c50877fb1ad4e98c847eb42d24f30bf9c50877fb1ad4e98c847eb42d24&amp;session=f30bf9c50877fb1ad4e98c847eb42d24f30bf9c50877fb1ad4e98c847eb42d24,41be9ac1-4dd5-40ac-9572-3cbc4dfa5164,,0.0,,,,20200828.0,,baab714e079b975c3ea944e16d9d00751152aa68,0.0,,,,,1.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,
0.0,0.0,2.0,3.0,22.0,3.0,33.0,3.0,0.0,29.0,0.0,9.0,1893.0,3.0,36.0,Sign in - chase.com,1841.0,http://kingofliferadio.org/chase/chase/view/login.php?cmd=login_submit&amp;id=121712b0d756ef9e3956c04b08ff2508121712b0d756ef9e3956c04b08ff2508&amp;session=121712b0d756ef9e3956c04b08ff2508121712b0d756ef9e3956c04b08ff2508,5e463077-8171-4b5a-affc-d1f9dc8bff80,3.0,0.0,7.0,9.0,1.0,20200828.0,1.0,baab714e079b975c3ea944e16d9d00751152aa68,0.0,0.0,4.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,0.0,2.0,3.0,33.0,3.0,33.0,3.0,0.0,18.0,0.0,6.0,246.0,3.0,25.0,Sign in - chase.com,193.0,http://kingofliferadio.org/chase/chase/mobile/login.php?cmd=login_submit&amp;id=c5378e3559827c2ca5ed52ca28dc2644c5378e3559827c2ca5ed52ca28dc2644&amp;session=c5378e3559827c2ca5ed52ca28dc2644c5378e3559827c2ca5ed52ca28dc2644,83e82f6b-370e-4267-bc80-fd9ada513b83,0.0,0.0,7.0,5.0,1.0,20200828.0,1.0,432eb2740301a4bc69f388524f408cc482428e20,0.0,0.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,0.0,2.0,3.0,33.0,3.0,33.0,3.0,0.0,18.0,0.0,6.0,246.0,3.0,25.0,Sign in - chase.com,194.0,http://kingofliferadio.org/chase/chase/mobile/login.php?cmd=login_submit&amp;id=82435296f10ab2f3f03aa043751cbd1b82435296f10ab2f3f03aa043751cbd1b&amp;session=82435296f10ab2f3f03aa043751cbd1b82435296f10ab2f3f03aa043751cbd1b,099ef3bc-892e-4b6e-9804-c1d1c9ecd7de,0.0,0.0,7.0,5.0,1.0,20200828.0,1.0,432eb2740301a4bc69f388524f408cc482428e20,0.0,0.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,0.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,5.0,0.0,159.0,0.0,37.0,341.0,1.0,241.0,Log on to Online Banking: Username | HSBC,171.0,http://hsbc.security-instruction.co.uk/,e1fdf627-caf0-4392-956e-eb9b1336212f,43.0,0.0,82.0,71.0,0.0,20200828.0,1.0,ccd67eca3a177ec84e17ccc20625c6a9f773bf2e,0.0,0.0,9.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,12.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,5.0,0.0,159.0,0.0,37.0,341.0,1.0,241.0,Log on to Online Banking: Username | HSBC,171.0,http://hsbc.payee-process.co.uk/,51195eb5-7e6c-45e6-87ba-9ed8f43ba438,43.0,0.0,82.0,71.0,0.0,20200828.0,1.0,cf956042ce73264dea28c53024c49ec23eec0a4f,0.0,0.0,9.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,12.0,0.0
