UUID,label,source,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
09faa0ed-04d9-4513-8408-d3876e442dce,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=148,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
61897980-d94e-4a58-9b29-bee4acc0b80f,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=152,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
f4348b12-b4b9-46ec-847a-faf5accd31fd,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=156,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
5596d46f-9545-4309-9a93-ae931e61b5a5,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=159,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3502060e-f2eb-46b9-85e4-6137e2fc292d,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=161,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
b78ea701-bd50-4471-9cc3-4b7c4862ef27,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=164,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
8def0332-a380-48ab-9990-f4a225fdc22d,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=167,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
e312dd38-077e-45c9-bdc3-c855c9437ab9,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=175,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
510624bd-274e-4357-95bb-d4a86c19947d,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=176,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
e00e62cf-3249-4fcc-aa1d-eadb1b670ec4,0.0,CC,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,http://85.222.101.118:33800/script/GetAttachment.ashx?ID=180,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
